Оператор	Область	Код DEF
"ОАО ""Вымпел-Коммуникации"""	Екатеринбург Свердловская область	909
"ОАО ""Вымпел-Коммуникации"""	Екатеринбург Свердловская область	961
"ОАО ""Вымпел-Коммуникации"""	Екатеринбург Свердловская область	962
"ОАО ""Вымпел-Коммуникации"""	Екатеринбург Свердловская область	963
"ОАО ""Вымпел-Коммуникации"""	Екатеринбург Свердловская область	965
"ОАО ""Вымпел-Коммуникации"""	Екатеринбург Свердловская область	967
"ОАО ""Мегафон"" 3G_Уральский филиал"	Екатеринбург Свердловская область	932
"ОАО ""Мегафон"" Уральский филиал"	Екатеринбург Свердловская область	922
"ОАО ""Мегафон"" Уральский филиал"	Екатеринбург Свердловская область	929
"ОАО ""Мегафон"" Уральский филиал"	Екатеринбург Свердловская область	932
"ОАО ""Мобильные ТелеСистемы"""	Екатеринбург Свердловская область	912
"ОАО ""Мобильные ТелеСистемы"""	Екатеринбург Свердловская область	919
"ОАО ""Мобильные ТелеСистемы"""	Екатеринбург Свердловская область	982
"ООО ""Екатеринбург-2000"""	Екатеринбург Свердловская область	900
"ООО ""Екатеринбург-2000"""	Екатеринбург Свердловская область	902
"ООО ""Екатеринбург-2000"""	Екатеринбург Свердловская область	904
"ООО ""Екатеринбург-2000"""	Екатеринбург Свердловская область	908
"ООО ""Екатеринбург-2000"""	Екатеринбург Свердловская область	950
"ООО ""Екатеринбург-2000"""	Екатеринбург Свердловская область	952
"ООО ""Екатеринбург-2000"""	Екатеринбург Свердловская область	953
"Ивановский ф-л ОАО ""Ростелеком"""	Иваново Ивановская область	901
"ОАО ""Вымпел-Коммуникации"""	Иваново Ивановская область	903
"ОАО ""Вымпел-Коммуникации"""	Иваново Ивановская область	905
"ОАО ""Вымпел-Коммуникации"""	Иваново Ивановская область	906
"ОАО ""Вымпел-Коммуникации"""	Иваново Ивановская область	909
"ОАО ""Вымпел-Коммуникации"""	Иваново Ивановская область	960
"ОАО ""Вымпел-Коммуникации"""	Иваново Ивановская область	961
"ОАО ""Вымпел-Коммуникации"""	Иваново Ивановская область	962
"ОАО ""Вымпел-Коммуникации"""	Иваново Ивановская область	963
"ОАО ""Вымпел-Коммуникации"""	Иваново Ивановская область	964
"ОАО ""Мегафон"" Северо-Западный филиал"	Иваново Ивановская область	920
"ОАО ""Мегафон"" Северо-Западный филиал"	Иваново Ивановская область	929
"ОАО ""Мегафон"" Северо-Западный филиал"	Иваново Ивановская область	930
"ОАО ""Мобильные ТелеСистемы"""	Иваново Ивановская область	910
"ОАО ""Мобильные ТелеСистемы"""	Иваново Ивановская область	915
"ОАО ""Мобильные ТелеСистемы"""	Иваново Ивановская область	980
"ОАО ""СМАРТС"""	Иваново Ивановская область	902
"ОАО ""СМАРТС"""	Иваново Ивановская область	908
"ОАО ""СМАРТС"""	Иваново Ивановская область	950
"ЗАО ""Сотовая Связь Удмуртии"""	Ижевск Республика Удмуртия	904
